time,true_state_id,true_state,observation_id,observation,snr_db,rss_dbm,ber,throughput_gbps,decoded_state_id,decoded_state,p_los,p_nlos,p_light_blockage,p_severe_blockage,predicted_next_state_id,predicted_next_state,next_blockage_probability
40,0,LoS,0,Excellent,29.420,-41.307,0.00000016,110.000,0,LoS,0.95753,0.04033,0.00199,0.00014,0,LoS,0.05574
41,0,LoS,0,Excellent,31.988,-39.458,0.00000079,110.000,0,LoS,0.97806,0.02052,0.00133,0.00009,0,LoS,0.05313
42,0,LoS,0,Excellent,27.683,-43.671,0.00000062,110.000,0,LoS,0.98047,0.01819,0.00126,0.00008,0,LoS,0.05282
43,0,LoS,0,Excellent,29.165,-43.425,0.00000097,110.000,0,LoS,0.98075,0.01792,0.00125,0.00008,0,LoS,0.05279
44,0,LoS,1,Good,31.943,-41.292,0.00000036,100.646,1,NLoS,0.68842,0.28115,0.02849,0.00194,0,LoS,0.09957
45,1,NLoS,1,Good,21.229,-57.503,0.00000332,64.363,1,NLoS,0.40575,0.55092,0.04012,0.00320,0,LoS,0.13716
46,2,Light blockage,2,Weak,14.837,-66.711,0.00086400,18.948,2,Light blockage,0.09187,0.49940,0.37423,0.03450,1,NLoS,0.35564
47,2,Light blockage,2,Weak,13.404,-71.935,0.00372150,23.920,2,Light blockage,0.02657,0.32387,0.59313,0.05643,1,NLoS,0.48411
48,2,Light blockage,3,Outage,12.874,-75.388,0.00500293,3.638,2,Light blockage,0.00400,0.09691,0.40578,0.49331,2,Light blockage,0.62884
49,1,NLoS,1,Good,21.834,-58.189,0.00001795,63.494,1,NLoS,0.11818,0.59844,0.23655,0.04683,1,NLoS,0.29056
50,1,NLoS,1,Good,26.050,-60.716,0.00001458,80.348,1,NLoS,0.11789,0.78712,0.08653,0.00845,1,NLoS,0.19486
51,1,NLoS,1,Good,21.737,-57.647,0.00000438,71.129,1,NLoS,0.11073,0.83118,0.05339,0.00470,1,NLoS,0.17705
52,1,NLoS,0,Excellent,24.512,-54.612,0.00007933,95.098,1,NLoS,0.73247,0.25674,0.00997,0.00082,0,LoS,0.08486
53,1,NLoS,2,Weak,21.127,-55.900,0.00001619,34.466,1,NLoS,0.20130,0.42418,0.34497,0.02955,1,NLoS,0.32630
54,1,NLoS,1,Good,22.197,-56.408,0.00001255,67.722,1,NLoS,0.15751,0.72095,0.11190,0.00964,1,NLoS,0.20383
55,1,NLoS,1,Good,18.699,-59.896,0.00001057,55.736,1,NLoS,0.12634,0.81042,0.05818,0.00506,1,NLoS,0.17792
56,1,NLoS,1,Good,15.619,-58.341,0.00001706,46.839,1,NLoS,0.11288,0.83466,0.04824,0.00422,1,NLoS,0.17398
57,1,NLoS,0,Excellent,20.634,-57.224,0.00003746,81.765,0,LoS,0.73367,0.25579,0.00974,0.00080,0,LoS,0.08460
58,0,LoS,0,Excellent,31.129,-41.547,0.00000048,110.000,0,LoS,0.94653,0.05095,0.00234,0.00017,0,LoS,0.05714
59,0,LoS,0,Excellent,29.975,-36.986,0.00000160,110.000,0,LoS,0.97674,0.02179,0.00138,0.00009,0,LoS,0.05329
60,0,LoS,1,Good,32.013,-43.415,0.00000099,102.115,0,LoS,0.68327,0.28615,0.02862,0.00196,0,LoS,0.10021
61,0,LoS,0,Excellent,29.326,-40.160,0.00000081,110.000,0,LoS,0.93899,0.05790,0.00289,0.00022,0,LoS,0.05827
62,0,LoS,0,Excellent,28.135,-44.354,0.00000154,110.000,0,LoS,0.97585,0.02265,0.00141,0.00009,0,LoS,0.05341
63,0,LoS,1,Good,27.971,-44.120,0.00000027,82.278,0,LoS,0.68213,0.28726,0.02865,0.00196,0,LoS,0.10035
64,0,LoS,0,Excellent,32.226,-45.994,0.00000069,110.000,0,LoS,0.93878,0.05810,0.00290,0.00022,0,LoS,0.05830
65,2,Light blockage,2,Weak,9.688,-73.234,0.00378984,19.621,2,Light blockage,0.33548,0.30399,0.33479,0.02575,0,LoS,0.30439
66,2,Light blockage,3,Outage,12.851,-65.930,0.00390552,4.400,2,Light blockage,0.01551,0.12785,0.39505,0.46158,2,Light blockage,0.60507
67,1,NLoS,1,Good,17.613,-56.151,0.00001664,58.082,1,NLoS,0.12037,0.61554,0.22127,0.04282,1,NLoS,0.28052
68,1,NLoS,2,Weak,19.239,-52.426,0.00000787,35.830,1,NLoS,0.03427,0.40027,0.51148,0.05398,1,NLoS,0.44112
69,1,NLoS,1,Good,21.763,-57.586,0.00000417,68.233,1,NLoS,0.08883,0.74707,0.15065,0.01345,1,NLoS,0.23282
70,1,NLoS,1,Good,25.054,-52.891,0.00004047,79.359,1,NLoS,0.10180,0.82738,0.06513,0.00570,1,NLoS,0.18444
71,0,LoS,0,Excellent,28.736,-43.172,0.00000059,110.000,1,NLoS,0.72667,0.26186,0.01060,0.00087,0,LoS,0.08584
72,2,Light blockage,2,Weak,7.230,-66.575,0.00130639,11.108,1,NLoS,0.19845,0.42598,0.34588,0.02970,1,NLoS,0.32715
73,1,NLoS,1,Good,21.753,-51.189,0.00002979,68.936,1,NLoS,0.15620,0.72213,0.11202,0.00966,1,NLoS,0.20404
74,0,LoS,0,Excellent,31.163,-42.519,0.00000061,110.000,1,NLoS,0.76733,0.22086,0.01092,0.00089,0,LoS,0.08153
75,1,NLoS,1,Good,20.478,-60.144,0.00001539,62.006,1,NLoS,0.46512,0.49726,0.03491,0.00271,0,LoS,0.12776
76,1,NLoS,1,Good,25.433,-50.581,0.00005184,84.797,1,NLoS,0.26168,0.69178,0.04295,0.00360,1,NLoS,0.15463
77,1,NLoS,1,Good,16.616,-58.704,0.00000685,52.451,1,NLoS,0.16481,0.78603,0.04526,0.00391,1,NLoS,0.16661
78,1,NLoS,1,Good,19.298,-57.791,0.00000850,58.315,1,NLoS,0.12656,0.82354,0.04590,0.00400,1,NLoS,0.17119
79,1,NLoS,2,Weak,21.768,-57.026,0.00000713,38.391,1,NLoS,0.04258,0.55158,0.37052,0.03532,1,NLoS,0.35965
80,1,NLoS,1,Good,19.134,-53.350,0.00001804,62.181,1,NLoS,0.08910,0.78906,0.11199,0.00985,1,NLoS,0.21151
81,1,NLoS,2,Weak,22.769,-54.026,0.00004588,36.953,1,NLoS,0.03477,0.50149,0.42340,0.04035,1,NLoS,0.38966
82,1,NLoS,0,Excellent,21.774,-54.128,0.00001201,87.736,0,LoS,0.69101,0.27588,0.03058,0.00252,0,LoS,0.10064
83,3,Severe blockage,1,Good,3.341,-84.914,0.08933360,14.646,0,LoS,0.40853,0.54753,0.04068,0.00327,0,LoS,0.13716
84,0,LoS,0,Excellent,35.661,-42.448,0.00000121,110.000,0,LoS,0.87372,0.12074,0.00513,0.00041,0,LoS,0.06668
85,0,LoS,0,Excellent,28.855,-40.417,0.00000214,110.000,0,LoS,0.96751,0.03070,0.00167,0.00012,0,LoS,0.05447
86,0,LoS,1,Good,30.313,-38.727,0.00000114,97.362,0,LoS,0.67157,0.29753,0.02892,0.00199,0,LoS,0.10166
87,1,NLoS,0,Excellent,23.226,-59.830,0.00001555,90.470,0,LoS,0.93684,0.05998,0.00296,0.00022,0,LoS,0.05855
88,2,Light blockage,1,Good,9.833,-65.094,0.00030716,31.633,1,NLoS,0.63446,0.33347,0.02995,0.00212,0,LoS,0.10633
89,2,Light blockage,2,Weak,13.208,-66.238,0.00010124,28.656,2,Light blockage,0.15660,0.43913,0.37151,0.03275,1,NLoS,0.34622
90,2,Light blockage,2,Weak,15.941,-67.446,0.00083942,28.791,2,Light blockage,0.03333,0.30918,0.60082,0.05667,2,Light blockage,0.48735
91,2,Light blockage,3,Outage,13.516,-72.868,0.00180825,0.211,3,Severe blockage,0.00409,0.09464,0.40712,0.49416,2,Light blockage,0.62995
92,1,NLoS,1,Good,23.986,-55.754,0.00001667,77.104,0,LoS,0.11843,0.59699,0.23756,0.04702,1,NLoS,0.29114
93,1,NLoS,0,Excellent,20.632,-54.878,0.00016599,79.125,0,LoS,0.75622,0.22511,0.01711,0.00157,0,LoS,0.08622
94,1,NLoS,1,Good,20.975,-57.960,0.00000733,61.006,0,LoS,0.45773,0.50273,0.03666,0.00288,0,LoS,0.12954
95,0,LoS,0,Excellent,34.686,-39.660,0.00000042,110.000,0,LoS,0.88812,0.10692,0.00459,0.00036,0,LoS,0.06480
96,0,LoS,0,Excellent,31.788,-42.958,0.00000013,110.000,0,LoS,0.96941,0.02886,0.00161,0.00011,0,LoS,0.05423
97,0,LoS,0,Excellent,32.775,-38.937,0.00000140,110.000,0,LoS,0.97946,0.01916,0.00129,0.00008,0,LoS,0.05295
98,1,NLoS,1,Good,19.805,-60.508,0.00001412,66.141,1,NLoS,0.68676,0.28276,0.02853,0.00194,0,LoS,0.09977
99,1,NLoS,1,Good,21.110,-60.134,0.00000441,68.374,1,NLoS,0.40449,0.55216,0.04014,0.00321,0,LoS,0.13731
100,1,NLoS,1,Good,25.260,-61.699,0.00002143,77.771,1,NLoS,0.23039,0.72158,0.04428,0.00375,1,NLoS,0.15882
101,1,NLoS,2,Weak,22.045,-53.873,0.00010249,38.680,1,NLoS,0.05839,0.53429,0.37221,0.03510,1,NLoS,0.35864
102,1,NLoS,2,Weak,18.041,-58.729,0.00016801,35.754,1,NLoS,0.02335,0.33295,0.58756,0.05614,1,NLoS,0.48153
103,0,LoS,0,Excellent,29.048,-43.653,0.00000053,110.000,1,NLoS,0.68991,0.26351,0.04303,0.00355,0,LoS,0.10754
104,1,NLoS,2,Weak,21.570,-53.278,0.00004589,31.672,1,NLoS,0.17369,0.39826,0.39353,0.03452,1,NLoS,0.35630
105,1,NLoS,1,Good,26.483,-50.804,0.00001665,83.506,1,NLoS,0.14739,0.71796,0.12393,0.01072,1,NLoS,0.21154
106,1,NLoS,1,Good,23.378,-58.279,0.00002023,70.978,1,NLoS,0.12289,0.81142,0.06043,0.00526,1,NLoS,0.17954
107,0,LoS,0,Excellent,29.327,-39.281,0.00000044,110.000,0,LoS,0.74156,0.24769,0.00993,0.00081,0,LoS,0.08384
108,0,LoS,1,Good,30.819,-40.932,0.00000186,98.086,0,LoS,0.44289,0.51939,0.03498,0.00274,0,LoS,0.13025
109,0,LoS,0,Excellent,30.986,-42.042,0.00000039,110.000,0,LoS,0.88371,0.11123,0.00469,0.00037,0,LoS,0.06534
110,0,LoS,0,Excellent,27.511,-44.412,0.00000016,107.810,0,LoS,0.96883,0.02943,0.00163,0.00011,0,LoS,0.05430
111,0,LoS,0,Excellent,30.793,-44.841,0.00000029,110.000,0,LoS,0.97940,0.01923,0.00129,0.00008,0,LoS,0.05296
112,0,LoS,0,Excellent,30.160,-41.893,0.00000041,110.000,0,LoS,0.98062,0.01804,0.00125,0.00008,0,LoS,0.05280
113,0,LoS,2,Weak,30.560,-41.754,0.00000071,51.816,1,NLoS,0.37633,0.26794,0.33118,0.02454,0,LoS,0.29745
114,0,LoS,1,Good,29.072,-43.405,0.00000043,90.178,1,NLoS,0.25218,0.62193,0.11615,0.00974,1,NLoS,0.19560
115,0,LoS,0,Excellent,31.613,-44.006,0.00000072,110.000,1,NLoS,0.81982,0.17037,0.00908,0.00073,0,LoS,0.07476
116,1,NLoS,1,Good,20.556,-59.986,0.00003054,64.292,1,NLoS,0.51229,0.45145,0.03370,0.00256,0,LoS,0.12188
117,1,NLoS,1,Good,19.477,-54.965,0.00001745,63.360,1,NLoS,0.28826,0.66575,0.04246,0.00353,1,NLoS,0.15143
118,1,NLoS,1,Good,27.358,-54.005,0.00004770,77.032,1,NLoS,0.17613,0.77490,0.04510,0.00388,1,NLoS,0.16527
119,1,NLoS,1,Good,20.675,-53.870,0.00001024,63.881,1,NLoS,0.13081,0.81935,0.04585,0.00399,1,NLoS,0.17069
120,1,NLoS,2,Weak,17.701,-54.187,0.00000935,28.516,2,Light blockage,0.04319,0.55091,0.37060,0.03531,1,NLoS,0.35962
121,3,Severe blockage,3,Outage,6.308,-85.663,0.16753198,3.471,3,Severe blockage,0.00600,0.15372,0.37901,0.46127,2,Light blockage,0.59793
122,0,LoS,0,Excellent,33.690,-38.818,0.00000066,110.000,0,LoS,0.75958,0.18872,0.04369,0.00801,0,LoS,0.10262
123,0,LoS,0,Excellent,28.935,-44.038,0.00000009,110.000,0,LoS,0.95376,0.04327,0.00275,0.00022,0,LoS,0.05658
124,0,LoS,0,Excellent,29.998,-40.881,0.00000046,110.000,0,LoS,0.97766,0.02090,0.00136,0.00009,0,LoS,0.05318
125,3,Severe blockage,2,Weak,3.505,-85.237,0.12324206,7.287,1,NLoS,0.37322,0.27072,0.33143,0.02463,0,LoS,0.29796
126,0,LoS,1,Good,30.056,-44.256,0.00000172,95.852,1,NLoS,0.25028,0.62391,0.11607,0.00974,1,NLoS,0.19576
127,0,LoS,0,Excellent,28.089,-43.315,0.00000100,110.000,1,NLoS,0.81892,0.17123,0.00911,0.00074,0,LoS,0.07487
128,0,LoS,1,Good,28.698,-40.927,0.00000078,90.719,1,NLoS,0.51144,0.45227,0.03372,0.00257,0,LoS,0.12199
129,2,Light blockage,2,Weak,20.855,-65.685,0.00488754,35.861,2,Light blockage,0.11829,0.47704,0.37107,0.03360,1,NLoS,0.35067
130,3,Severe blockage,3,Outage,2.635,-83.058,0.17780934,2.926,2,Light blockage,0.00798,0.14484,0.38417,0.46301,2,Light blockage,0.60123
131,2,Light blockage,2,Weak,10.698,-81.777,0.00556813,17.089,2,Light blockage,0.01705,0.16137,0.67757,0.14401,2,Light blockage,0.57468
132,2,Light blockage,2,Weak,15.656,-67.094,0.00045200,24.268,2,Light blockage,0.01373,0.17261,0.73044,0.08323,2,Light blockage,0.56865
133,2,Light blockage,0,Excellent,10.889,-78.543,0.00142866,42.470,1,NLoS,0.69285,0.24466,0.05760,0.00489,0,LoS,0.11523
134,3,Severe blockage,3,Outage,2.507,-78.241,0.02359195,2.119,1,NLoS,0.05931,0.21855,0.34058,0.38156,2,Light blockage,0.52981
135,0,LoS,1,Good,28.752,-41.583,0.00000130,91.755,1,NLoS,0.13259,0.65542,0.17884,0.03315,1,NLoS,0.25274
136,3,Severe blockage,3,Outage,4.909,-83.583,0.04607975,2.985,1,NLoS,0.01098,0.21090,0.33570,0.44241,2,Light blockage,0.56555
137,2,Light blockage,2,Weak,13.478,-66.011,0.00051440,22.097,1,NLoS,0.01828,0.18697,0.65350,0.14125,2,Light blockage,0.56101
138,0,LoS,0,Excellent,33.084,-42.582,0.00000217,110.000,0,LoS,0.70975,0.23283,0.05227,0.00514,0,LoS,0.11084
139,0,LoS,0,Excellent,29.989,-42.531,0.00000030,110.000,0,LoS,0.94566,0.05098,0.00313,0.00024,0,LoS,0.05767
140,0,LoS,0,Excellent,33.446,-42.779,0.00000047,110.000,0,LoS,0.97669,0.02183,0.00139,0.00009,0,LoS,0.05331
141,0,LoS,0,Excellent,31.146,-41.757,0.00000062,110.000,0,LoS,0.98031,0.01834,0.00126,0.00008,0,LoS,0.05284
142,1,NLoS,2,Weak,20.172,-55.773,0.00002068,35.048,2,Light blockage,0.37601,0.26823,0.33121,0.02455,0,LoS,0.29750
143,1,NLoS,3,Outage,23.137,-55.337,0.00007334,4.759,2,Light blockage,0.01714,0.12283,0.39808,0.46196,2,Light blockage,0.60661
144,1,NLoS,2,Weak,22.807,-66.012,0.00004408,33.599,2,Light blockage,0.01755,0.15395,0.68452,0.14397,2,Light blockage,0.57807
145,1,NLoS,1,Good,22.594,-56.307,0.00000945,72.003,2,Light blockage,0.09143,0.65373,0.23075,0.02409,1,NLoS,0.27833
146,2,Light blockage,2,Weak,9.839,-76.423,0.00369968,21.529,2,Light blockage,0.03078,0.41107,0.50898,0.04917,1,NLoS,0.43766
147,2,Light blockage,2,Weak,12.324,-59.109,0.00113168,19.842,2,Light blockage,0.01788,0.26929,0.65046,0.06237,2,Light blockage,0.51694
148,1,NLoS,1,Good,21.180,-53.631,0.00001422,58.530,1,NLoS,0.08372,0.70572,0.19354,0.01702,1,NLoS,0.25675
149,1,NLoS,1,Good,23.965,-53.223,0.00004304,78.034,1,NLoS,0.10093,0.81919,0.07347,0.00641,1,NLoS,0.18910
150,1,NLoS,1,Good,25.622,-54.597,0.00003698,80.261,1,NLoS,0.10424,0.84036,0.05094,0.00446,1,NLoS,0.17641
151,0,LoS,0,Excellent,32.510,-40.671,0.00000068,110.000,0,LoS,0.72756,0.26158,0.01003,0.00083,0,LoS,0.08543
152,0,LoS,0,Excellent,32.342,-43.814,0.00000035,110.000,0,LoS,0.94551,0.05194,0.00237,0.00018,0,LoS,0.05727
153,0,LoS,0,Excellent,33.057,-40.436,0.00000065,110.000,0,LoS,0.97662,0.02191,0.00138,0.00009,0,LoS,0.05331
154,0,LoS,0,Excellent,33.315,-40.297,0.00000027,110.000,0,LoS,0.98030,0.01835,0.00126,0.00008,0,LoS,0.05284
155,0,LoS,1,Good,30.072,-41.652,0.00000104,95.143,0,LoS,0.68784,0.28171,0.02850,0.00194,0,LoS,0.09964
156,0,LoS,1,Good,28.520,-40.462,0.00000050,87.030,0,LoS,0.40531,0.55135,0.04013,0.00320,0,LoS,0.13721
157,0,LoS,0,Excellent,31.172,-39.883,0.00000058,110.000,0,LoS,0.87265,0.12179,0.00515,0.00041,0,LoS,0.06680
158,0,LoS,0,Excellent,33.871,-41.980,0.00000099,110.000,0,LoS,0.96736,0.03084,0.00168,0.00012,0,LoS,0.05449
159,0,LoS,0,Excellent,28.345,-44.249,0.00000054,110.000,0,LoS,0.97922,0.01939,0.00130,0.00008,0,LoS,0.05298
160,0,LoS,1,Good,28.938,-40.361,0.00000085,94.261,0,LoS,0.68645,0.28306,0.02854,0.00195,0,LoS,0.09981
161,0,LoS,0,Excellent,30.978,-38.944,0.00000038,110.000,0,LoS,0.93957,0.05734,0.00287,0.00021,0,LoS,0.05820
162,0,LoS,0,Excellent,29.747,-44.396,0.00000074,110.000,0,LoS,0.97592,0.02258,0.00141,0.00009,0,LoS,0.05340
163,0,LoS,0,Excellent,32.842,-39.667,0.00000116,110.000,0,LoS,0.98022,0.01843,0.00127,0.00008,0,LoS,0.05285
164,1,NLoS,2,Weak,22.020,-55.219,0.00000413,40.081,2,Light blockage,0.37591,0.26832,0.33121,0.02455,0,LoS,0.29752
165,1,NLoS,2,Weak,24.311,-54.149,0.00001562,38.486,2,Light blockage,0.06251,0.26894,0.61262,0.05593,2,Light blockage,0.48963
166,1,NLoS,1,Good,22.685,-53.456,0.00002643,69.158,1,NLoS,0.10401,0.69558,0.18434,0.01607,1,NLoS,0.24941
167,1,NLoS,1,Good,23.006,-59.187,0.00002042,72.695,1,NLoS,0.10830,0.81353,0.07190,0.00626,1,NLoS,0.18742
168,1,NLoS,1,Good,18.256,-55.119,0.00003750,58.164,1,NLoS,0.10681,0.83809,0.05066,0.00444,1,NLoS,0.17598
169,3,Severe blockage,3,Outage,2.568,-80.926,0.19128923,2.680,3,Severe blockage,0.01357,0.31419,0.30369,0.36854,1,NLoS,0.50937
170,3,Severe blockage,3,Outage,-0.069,-79.715,0.08223254,1.463,3,Severe blockage,0.00340,0.06709,0.25899,0.67052,2,Light blockage,0.65120
171,0,LoS,0,Excellent,29.319,-40.248,0.00000084,110.000,0,LoS,0.80424,0.14334,0.04219,0.01023,0,LoS,0.09815
172,0,LoS,0,Excellent,29.765,-43.865,0.00000081,110.000,0,LoS,0.96083,0.03644,0.00253,0.00020,0,LoS,0.05568
173,0,LoS,0,Excellent,31.546,-41.586,0.00000121,110.000,0,LoS,0.97850,0.02008,0.00133,0.00009,0,LoS,0.05308
174,0,LoS,1,Good,28.559,-42.493,0.00000103,89.883,0,LoS,0.68553,0.28396,0.02857,0.00195,0,LoS,0.09993
175,0,LoS,0,Excellent,34.414,-41.868,0.00000172,110.000,0,LoS,0.93940,0.05751,0.00288,0.00022,0,LoS,0.05822
176,0,LoS,0,Excellent,33.301,-39.767,0.00000130,110.000,0,LoS,0.97590,0.02260,0.00141,0.00009,0,LoS,0.05340
177,0,LoS,0,Excellent,28.828,-44.790,0.00000041,110.000,0,LoS,0.98022,0.01843,0.00127,0.00008,0,LoS,0.05285
178,0,LoS,0,Excellent,27.185,-40.948,0.00000074,106.541,0,LoS,0.98072,0.01795,0.00125,0.00008,0,LoS,0.05279
179,0,LoS,0,Excellent,27.661,-41.100,0.00000120,107.518,0,LoS,0.98078,0.01789,0.00125,0.00008,0,LoS,0.05278
180,0,LoS,0,Excellent,31.479,-43.942,0.00000068,110.000,0,LoS,0.98078,0.01789,0.00125,0.00008,0,LoS,0.05278
181,0,LoS,1,Good,28.391,-39.735,0.00000009,85.296,1,NLoS,0.68846,0.28111,0.02849,0.00194,0,LoS,0.09956
182,1,NLoS,1,Good,20.925,-57.755,0.00013644,63.259,1,NLoS,0.40579,0.55089,0.04012,0.00320,0,LoS,0.13715
183,2,Light blockage,1,Good,14.879,-69.811,0.00248379,51.105,1,NLoS,0.23105,0.72093,0.04427,0.00375,1,NLoS,0.15874
184,3,Severe blockage,2,Weak,4.649,-91.793,0.09799862,10.037,1,NLoS,0.05850,0.53418,0.37223,0.03510,1,NLoS,0.35863
185,2,Light blockage,1,Good,15.540,-65.497,0.00219678,54.091,1,NLoS,0.09551,0.78154,0.11303,0.00992,1,NLoS,0.21137
186,2,Light blockage,2,Weak,7.855,-71.123,0.00062984,8.963,2,Light blockage,0.03553,0.49944,0.42460,0.04044,1,NLoS,0.39023
187,3,Severe blockage,2,Weak,5.186,-84.943,0.07937226,13.050,2,Light blockage,0.02001,0.31015,0.61132,0.05852,2,Light blockage,0.49506
188,3,Severe blockage,3,Outage,5.252,-79.594,0.05868873,4.102,3,Severe blockage,0.00377,0.09378,0.40706,0.49539,2,Light blockage,0.63063
189,1,NLoS,1,Good,24.654,-61.818,0.00001111,71.692,0,LoS,0.11840,0.59646,0.23798,0.04716,1,NLoS,0.29143
